Date,Slot Revenue,Table Game Revenue,Hotel Revenue,Food & Beverage Revenue,Entertainment Revenue,Loyalty Member Revenue,Peak Hour Revenue (6PM-12AM),Operating Expenses,Marketing Spend,Customer Acquisition Cost,Total Customers,New Customers,High-Roller Revenue,Hotel Occupancy (%),Average Spend per Customer,Total Revenue,Profit Margin (%),Cash Flow,Player Retention Rate (%),VIP Customers,Standard Customers,Food & Beverage Cost,Event Nights
2023-07-07,142096,226464,59615,26705,68677,142610,118711,694905,29581,54,8131,518,147921,71,315,1649125,24.6,79236,60.54,217,1832,51300,0
2023-07-08,127059,228441,87503,70364,47734,177248,220250,650198,65192,379,1726,853,111551,44,743,1692210,25.6,221889,73.46,474,2340,4086,0
2023-07-09,205340,292107,90708,76445,42603,51520,16094,447891,11462,357,7697,298,28976,62,154,921482,23.09,-34139,57.74,144,2638,26535,0
2023-07-10,130687,135911,107471,106892,78708,35675,272885,550201,74173,382,1282,562,140617,40,986,370888,25.82,41707,63.74,341,4591,15860,0
2023-07-11,370083,233777,88309,81645,70803,159359,116585,552237,25511,218,2081,536,109794,49,482,517972,10.02,266405,64.47,491,943,18013,0
2023-07-12,431357,286532,131446,5023,41332,10174,73798,60068,86106,230,4885,409,66866,53,962,1210172,16.3,205043,57.18,19,4674,8407,1
2023-07-13,231428,15569,111661,62796,23312,102268,206604,628748,58665,415,3881,695,127752,93,546,1887333,22.3,83909,59.23,78,1998,34542,0
2023-07-14,125878,79836,11154,83073,46179,44998,115130,620706,54414,227,3970,853,57078,94,489,1530360,20.93,286279,85.48,350,1426,25935,0
2023-07-15,222982,114573,69288,95197,73442,243663,289308,338350,91010,192,7985,380,41113,46,797,941464,22.91,4380,57.52,396,1122,42477,0
2023-07-16,469260,268090,56195,67429,42379,194384,171667,72337,82573,411,1947,422,25401,90,734,929119,10.61,298233,51.28,92,1979,50079,0
2023-07-17,218286,153087,25581,107195,19297,153184,35257,201738,23386,297,5760,863,153956,44,207,277175,7.46,55025,78.32,118,3537,35111,0
2023-07-18,269002,55002,35087,64627,4011,115410,57691,297667,64460,176,1066,801,178635,80,221,1301624,27.92,130903,93.92,53,3885,57550,0
2023-07-19,270396,257666,74298,36848,46014,85225,84768,564241,16221,312,9828,251,175486,56,543,1997871,19.0,170421,64.9,492,3818,11161,0
2023-07-20,184899,147326,51167,40804,13738,54814,19026,402215,33474,89,9505,401,157214,90,360,493807,8.85,194497,55.34,463,733,24581,0
2023-07-21,469036,165286,44499,18379,49498,95091,230162,148064,31045,461,1564,377,81492,87,452,1154853,24.84,110592,75.67,407,2117,33277,0
2023-07-22,344767,221791,130816,62664,13120,60719,298052,418655,14922,465,4670,750,86693,60,718,948292,27.87,-5603,90.79,141,3191,22400,1
2023-07-23,494950,212846,101347,30766,10767,139887,24610,532605,32706,404,3251,787,45135,41,819,233332,9.24,289229,85.28,27,2530,12419,0
2023-07-24,357594,147162,53787,112126,24852,43919,182718,457974,52771,304,1804,107,37862,75,725,1389091,25.44,276009,78.01,102,886,41565,0
2023-07-25,375570,152709,40488,71099,2929,83155,330329,508996,62335,192,5631,906,146262,60,708,1933441,28.33,268100,64.18,492,2134,20283,1
2023-07-26,399989,163487,79441,39060,79487,81569,339711,577466,62949,289,2235,334,80199,61,952,1869819,28.46,227132,74.38,445,4633,1934,0
2023-07-27,435515,34071,27431,97733,19438,51328,183646,606119,80714,277,7720,774,115366,61,715,386885,27.85,108795,54.11,303,1684,35754,1
2023-07-28,63585,68243,66681,72122,50515,211554,227123,183248,25240,390,7906,660,14331,82,512,481864,18.66,-16200,80.55,473,2467,22380,0
2023-07-29,391369,182312,127720,19087,7744,34618,303326,153306,12716,247,7016,401,193258,90,416,1447931,13.91,108502,82.63,157,740,15016,0
2023-07-30,84044,267218,54153,51868,44417,44675,24288,214726,26574,114,4549,137,54648,75,599,864752,5.18,149548,93.43,481,1061,56694,1
2023-07-31,455773,224879,11368,26225,9069,242866,345968,424169,93255,437,8938,235,38549,36,692,882733,6.52,207653,61.72,492,2499,39233,0
2023-08-01,462296,38732,117360,98286,44359,28919,89425,140417,83717,60,5141,921,35761,33,919,534758,15.72,299473,50.83,181,2429,23695,1
2023-08-02,129556,131465,117755,9643,21799,14173,5917,478638,54066,157,7966,520,13262,81,304,1417589,14.98,2284,74.55,60,3279,25952,0
2023-08-03,22693,67108,61985,96059,72188,119369,342746,61984,71826,75,6335,318,192331,60,257,1635410,9.62,6232,81.81,28,2175,43734,1
2023-08-04,377403,121195,55069,39727,9597,36400,331719,139312,30213,494,6077,447,82572,65,499,449760,14.89,-5580,85.57,129,3015,16721,0
2023-08-05,263307,46668,57326,14005,49093,191517,339662,242458,81916,470,6611,907,194544,83,144,194515,9.37,249854,58.72,333,2177,2505,0
2023-08-06,220235,295205,113737,112079,39226,80305,258187,133291,76151,200,9089,645,97858,83,909,1299070,26.22,42035,61.78,234,4641,6363,0
2023-08-07,45939,49749,55861,68697,74127,178636,44104,574608,60906,270,3892,963,94667,46,888,1839549,12.45,243427,73.07,75,4246,49708,1
2023-08-08,462141,140560,80897,19029,79362,186886,154134,537387,10463,390,6577,178,14677,59,527,1336664,19.96,147241,64.88,150,3856,44614,0
2023-08-09,456157,157979,132118,118281,28417,220819,284143,465105,41973,286,4618,847,140334,51,732,1732974,17.57,143529,88.72,455,2151,2010,0
2023-08-10,172906,159849,73577,17226,20693,98791,267091,410215,84694,286,2559,994,111437,72,811,319601,6.3,199863,71.32,198,4677,48692,0
2023-08-11,38047,234301,14078,66646,55161,169034,66169,305083,30651,268,7683,372,191689,56,239,833282,28.56,-24032,85.98,167,4341,47250,0
2023-08-12,308249,61745,67768,63603,4169,225964,159542,684151,78694,473,2507,260,159667,66,760,396177,18.18,12508,76.13,107,2941,20861,0
2023-08-13,95766,101865,56047,31731,24052,226914,134744,91777,30008,200,3063,786,70148,75,533,1980221,13.13,185863,84.79,167,1094,25125,0
2023-08-14,428923,222890,76626,112458,73849,80533,64821,96250,80474,172,4642,977,56926,64,782,1409281,8.95,144292,64.97,444,3112,59574,0
2023-08-15,435192,33624,62660,113384,75851,197256,222741,352274,48185,193,3000,407,85271,33,585,1603785,13.46,35366,87.41,255,4596,10369,0
2023-08-16,64262,33321,137997,71926,10036,223984,254265,525147,97924,238,2294,473,44457,55,805,112938,5.51,-44262,62.36,353,1996,4857,1
2023-08-17,407261,294718,122832,8997,33778,247488,219127,65216,84417,304,5065,832,52531,48,472,1279418,14.09,-46902,74.57,441,4055,27671,0
2023-08-18,305920,184293,135406,58506,29734,113591,279336,396293,81139,117,9014,108,138027,74,885,1094199,18.29,45424,59.63,245,3858,10864,0
2023-08-19,181152,269127,130150,81229,25173,151650,341246,577297,44980,153,2603,900,55771,55,689,1412994,26.8,154705,71.4,42,2101,33490,0
2023-08-20,148376,196717,38320,52815,32403,141060,208834,195281,32504,385,2322,543,103135,51,654,525031,22.18,28672,64.32,370,1414,11120,0
2023-08-21,480058,193868,69881,45092,68321,159696,239538,589317,64970,208,6956,212,76354,87,861,1617810,7.79,250388,62.0,250,2344,21223,0
2023-08-22,474589,145504,95827,65539,73675,49194,91795,510829,26766,358,3441,304,122743,92,182,1298609,8.69,89325,93.51,339,2495,33150,0
2023-08-23,157848,105257,107215,69077,8344,119903,170159,238069,21695,411,2098,504,178361,57,104,1168620,15.7,266477,57.2,347,594,45138,0
2023-08-24,112787,74291,139461,24817,20800,141461,333821,414315,27796,458,6073,797,43892,94,559,1247948,9.89,75349,85.43,284,992,54420,0
2023-08-25,147948,220176,149701,40861,27372,109303,140699,164456,52543,349,9488,952,139662,73,719,1039479,5.7,969,94.29,80,3569,3553,0
2023-08-26,75016,200471,66550,16428,63516,123903,248877,374703,24559,445,4787,296,105057,72,590,1425426,25.13,40744,50.9,322,649,16489,0
2023-08-27,422690,228803,29826,46934,22538,77391,204298,432688,43139,139,3096,877,48409,66,459,1285622,5.49,151495,81.46,412,1546,5389,0
2023-08-28,471269,121317,105734,118555,65918,247501,193505,419484,18802,406,3208,873,175542,95,260,438608,25.77,67286,61.38,225,3303,50703,0
2023-08-29,41959,149789,103511,117367,16973,154866,141285,83783,83843,305,6988,859,159457,46,715,645501,8.6,25028,51.82,88,898,22950,0
2023-08-30,156602,83686,16653,13258,73155,68002,107412,84152,50205,402,1175,214,164368,69,342,1674814,29.37,247565,68.13,178,4976,12089,1
2023-08-31,245928,77661,86941,60775,61500,45531,24404,633029,44159,269,8169,220,128566,67,783,1402619,20.1,-11425,92.08,307,1051,42999,0
2023-09-01,401245,54247,38662,84580,38575,193887,121545,494718,21516,58,7014,752,71716,90,164,1888949,23.37,-46808,50.53,480,794,55910,0
2023-09-02,285892,255121,103818,97947,44261,14986,227128,603380,60492,61,2667,164,99152,38,998,1945419,7.76,61116,76.45,189,1643,59228,0
2023-09-03,248576,157820,100081,8469,29716,42298,155245,198725,39086,374,9867,375,36382,90,719,1104735,26.55,31311,72.56,125,955,4051,0
2023-09-04,33545,276765,41877,31854,5236,11481,189099,541215,40480,487,2823,924,86675,45,308,1473464,25.98,30781,89.3,269,2053,39090,0
2023-09-05,409803,156106,116562,9256,17848,66408,291133,221541,62091,293,6147,338,32419,31,812,773131,21.32,-13473,53.78,495,668,29805,0
2023-09-06,479415,268930,77715,79256,4352,210339,266657,398627,57766,231,2356,401,91238,72,171,1611602,17.56,2181,80.67,269,2446,30442,0
2023-09-07,185838,146194,146398,36937,3932,131950,291663,371898,48737,333,4072,491,180363,71,348,921485,23.04,41472,80.6,14,753,45557,0
2023-09-08,355674,290174,115091,102134,78449,157907,261875,137592,19265,361,4259,621,22397,86,824,348966,5.15,31219,80.11,306,2876,3555,0
2023-09-09,375701,48638,137632,4651,10556,135355,289583,406687,80990,148,7199,468,67888,96,430,545292,19.81,69783,92.41,117,1820,51241,0
2023-09-10,81087,128033,84148,53288,7498,37798,19995,93169,25386,246,1546,332,45169,59,610,1286693,26.19,111554,87.04,352,3383,13767,0
2023-09-11,88840,115977,88186,87730,78118,101649,28559,491503,47425,415,6231,294,72182,42,938,1468343,13.92,129300,51.89,369,4107,1458,1
2023-09-12,138451,98869,128629,28051,52098,74887,103000,104745,53254,275,8965,111,102476,48,890,1178290,7.71,33265,71.2,126,2625,49469,0
2023-09-13,467600,115186,75316,30386,66386,29477,157191,684456,99863,382,3083,788,52249,36,550,789746,15.52,126,67.91,366,3996,17066,1
2023-09-14,333149,176926,33380,78054,11569,158338,306494,688273,63634,152,3040,276,169413,38,346,1520003,23.18,232689,63.96,454,2740,5721,0
2023-09-15,459792,56271,115198,114562,58882,227400,30517,71067,96717,155,5534,316,85603,83,411,1419282,7.68,5114,70.31,340,900,13446,0
2023-09-16,59353,151339,7356,19184,72393,227060,220558,101033,57662,414,2752,110,187216,90,638,417192,10.15,156422,67.29,448,2656,7304,0
2023-09-17,213075,231897,75326,36787,2340,137815,326690,95256,96988,417,2849,545,89360,31,512,455439,8.69,138873,69.46,340,2876,47333,0
2023-09-18,234283,11062,97447,24621,45949,184598,110686,289455,97527,107,3642,729,23444,79,487,112026,24.92,226034,94.07,22,862,43967,0
2023-09-19,334877,257736,119994,78564,64443,247942,93151,552264,85452,127,2600,263,186719,60,176,206147,6.57,71284,53.99,151,4438,35688,0
2023-09-20,85318,60448,25049,80984,76027,137426,270471,250417,20143,124,5402,650,133662,62,246,1704453,22.16,264626,91.5,197,4351,14227,0
2023-09-21,261025,105462,110361,62792,2138,152961,125318,136803,25581,91,4799,152,108843,40,270,1781063,14.16,144469,71.61,465,3912,41462,0
2023-09-22,436880,255885,21082,48253,2358,34335,200490,253814,77443,471,1618,317,20974,62,140,983706,23.89,92290,78.07,290,2806,55820,0
2023-09-23,87172,57915,5661,37051,77250,152326,178860,168843,39424,373,2132,817,122150,36,460,388988,29.11,283735,87.36,475,584,7298,0
2023-09-24,236688,276776,7920,52811,32654,96610,120945,529809,98844,230,6491,923,179455,60,57,452559,7.86,38241,66.22,124,2324,40397,0
2023-09-25,276951,114592,84561,33447,27879,21442,218456,603280,51984,82,6795,459,104826,77,593,1357150,12.86,246866,69.37,437,4385,46487,0
2023-09-26,113264,144668,13946,86930,57778,56289,313974,262603,51505,120,8633,484,107648,76,517,1362916,25.25,261575,68.43,245,807,38914,0
2023-09-27,266458,118099,21309,103037,39772,63747,57446,623091,72699,105,2487,155,144028,82,369,154708,11.65,132615,66.86,347,4857,51155,0
2023-09-28,308880,17561,60230,33254,60478,47327,192655,422119,36957,154,8848,217,149149,48,443,557141,10.38,254144,91.65,19,2421,53235,0
2023-09-29,245281,92152,116822,87045,66353,157271,145148,194282,35464,249,6009,999,46490,35,318,1743689,25.63,284119,87.3,208,1130,11306,1
2023-09-30,132859,135036,117340,119859,28762,82827,74341,526545,33649,150,3113,352,134713,78,240,1724438,29.68,-19079,54.9,261,2871,3589,0
2023-10-01,394325,36734,64321,60418,15283,116464,36085,76270,52065,305,2044,897,65612,79,910,1496268,18.92,111686,54.87,59,3800,38078,0
2023-10-02,414070,36069,137028,117534,65922,141184,322715,505224,44758,356,3431,879,110474,41,724,512028,11.95,142261,69.25,437,4167,36009,0
2023-10-03,372228,220977,79131,17472,41420,97051,10750,581740,15596,123,8979,902,46159,52,110,1380985,14.96,-32399,54.44,151,1226,55918,0
2023-10-04,451839,22910,30963,114193,57568,160653,345912,353630,26374,220,2582,944,49710,83,487,1859245,9.25,43332,77.86,280,2148,14601,0
2023-10-05,289536,91264,106757,6471,22219,69722,40903,64859,13775,426,2308,279,154878,98,313,1737094,24.05,152615,56.47,25,4812,8711,0
2023-10-06,337824,33275,104259,110332,59169,102036,208561,606371,37388,192,5917,514,123096,88,846,1403027,24.34,185572,73.51,11,1769,22364,0
2023-10-07,277426,82274,44063,98804,76965,238634,96036,161462,31029,215,9793,969,117412,65,144,927013,26.88,240144,50.32,167,818,34706,0
2023-10-08,197789,201076,119225,11329,48840,157595,92954,197735,93981,448,2620,334,104924,32,602,1395750,5.67,80439,64.25,39,3975,30610,0
2023-10-09,238164,204053,121400,37865,46695,76960,122305,299737,63639,310,8503,954,16458,87,975,539844,19.05,189691,80.47,91,3278,38069,0
2023-10-10,333003,195625,85818,49850,79988,29552,205753,331197,24645,270,5766,807,140993,84,519,1368276,10.36,69277,71.78,40,3558,4970,0
2023-10-11,145657,58447,9703,57220,60342,151880,37101,192157,41105,132,6362,919,45524,86,710,387249,13.52,242527,94.02,245,4634,4999,0
2023-10-12,255167,85703,77099,115234,20951,245419,7775,401889,23668,231,6192,179,147925,46,765,614539,24.62,92857,89.33,342,2102,22034,0
2023-10-13,177381,289404,36585,96808,3307,213597,116497,240167,25960,356,7622,746,50477,68,828,431301,9.8,-9090,66.16,157,2756,56779,0
2023-10-14,214806,122581,48585,111381,37428,164692,50619,643805,21357,59,7093,121,42222,97,563,1574234,20.96,120100,52.05,186,1329,37176,0
2023-10-15,90467,275956,31958,9397,77774,245637,257388,186319,74604,445,7704,576,28320,84,739,1143840,21.36,105927,88.05,379,1355,47575,0
2023-10-16,203734,199728,31017,100909,40975,10887,238346,464027,61796,53,1100,942,104154,74,986,1497955,28.85,236425,91.01,44,3148,42730,0
2023-10-17,118506,126421,129677,38525,3140,41802,324268,276453,25804,400,7657,539,62243,30,243,870802,24.38,-45159,86.93,32,2358,17632,0
2023-10-18,129751,11605,148273,56072,26842,95024,70149,186645,24626,451,6875,836,186687,50,531,364491,25.09,47204,55.76,115,1602,14385,0
2023-10-19,401050,82303,34426,93106,28421,236621,31616,562035,38132,385,5271,669,158424,50,948,850382,18.29,10155,94.91,106,2981,58716,0
2023-10-20,425904,168211,22778,86820,3708,128639,226767,653555,17951,341,1237,192,82833,81,385,1982658,9.67,268457,61.64,239,2320,6950,0
2023-10-21,307486,197210,47229,87530,5630,128248,190639,188261,16449,330,8226,291,103476,72,484,248182,15.64,209589,82.59,236,2579,36694,0
2023-10-22,188229,271949,91652,26284,21595,91938,173171,392221,29065,264,9032,202,124560,81,245,293242,18.74,211140,90.86,380,3658,8975,0
2023-10-23,481079,154990,133267,64330,78021,227813,211903,486862,19130,147,6218,495,144275,96,904,1022427,21.96,98515,60.61,109,2940,54009,1
2023-10-24,388452,168518,131503,86369,30308,132746,236318,388767,99360,469,5025,106,49267,73,298,807161,20.19,82994,90.87,454,4184,22314,0
2023-10-25,465299,134040,89878,28122,46789,36049,328943,181004,72287,150,7073,739,47941,61,547,555987,14.85,244120,63.93,477,1755,24398,0
2023-10-26,126081,154118,62056,73553,57690,87789,292623,555187,61702,58,3542,666,92809,39,261,224926,11.63,93063,93.94,64,3457,26277,0
2023-10-27,478949,241966,24975,84906,28086,94526,60863,103687,46993,110,2537,330,35368,93,714,181147,9.21,54405,62.66,204,4151,27761,0
2023-10-28,109045,276468,147633,97788,18859,148918,178115,157615,41875,358,1754,973,87186,98,719,1458855,22.35,3744,92.9,17,2739,32533,0
2023-10-29,54698,281255,93397,65812,9684,231635,349713,443120,16054,195,8396,673,40984,97,515,1692063,21.13,-47527,52.41,433,2439,7966,0
2023-10-30,130078,26389,38142,10999,3207,245808,258347,601852,58517,476,8823,339,183013,57,923,1331784,22.18,89180,81.92,324,769,42901,1
2023-10-31,362767,132177,31916,25436,48099,56220,194052,581985,86368,468,6507,189,193755,82,700,1578367,14.31,-21285,73.95,137,4564,7587,0
2023-11-01,42671,169818,69324,45963,69496,56163,283495,654453,39670,112,5235,331,10801,80,270,320868,11.56,194826,71.5,41,4275,23880,0
2023-11-02,438400,132883,130932,5096,68093,144837,140203,632111,59112,170,1540,556,116538,82,322,220787,23.99,203856,60.06,102,1612,6091,0
2023-11-03,375528,228958,140720,116737,31689,127126,252908,583903,98388,275,6510,332,122201,33,203,1064237,24.34,189419,81.75,16,1148,42753,1
2023-11-04,455323,248213,101059,28279,50651,91486,311969,556554,99156,154,9461,453,57965,46,298,214427,16.39,202508,58.59,267,1679,32130,0
2023-11-05,106202,122221,103317,111899,15893,186342,278493,650724,38307,309,8926,432,95269,96,328,248063,20.3,249461,74.88,350,2642,18061,0
2023-11-06,71663,285378,40046,117245,68418,85277,197003,432706,77087,398,6131,538,151041,76,489,777913,14.34,277660,61.4,399,516,23293,0
2023-11-07,35708,270669,106459,29201,62011,229350,311398,609070,57922,474,9697,474,45969,85,997,1369358,22.55,114434,93.0,229,616,2561,0
2023-11-08,374050,244936,50893,22715,40635,231311,305369,128533,73080,304,2129,391,173521,52,865,711781,25.89,4604,51.29,249,2045,54205,0
2023-11-09,331955,10846,106520,32309,58115,114245,279597,290011,89335,478,4145,444,101679,47,325,588633,22.21,-45111,58.99,115,3651,42412,0
2023-11-10,153883,20954,130818,18078,74702,132332,154886,239327,36312,483,9553,763,166777,30,563,899203,17.81,170629,60.9,45,3193,48553,0
2023-11-11,338394,254761,66272,59614,74805,244231,154335,555168,76985,256,4720,527,38363,64,137,1274183,16.47,285892,68.63,425,4589,4656,0
2023-11-12,132547,147541,72649,8105,60954,32931,82694,122684,67608,77,5067,756,171792,93,848,871122,21.06,244115,60.47,54,1776,22618,0
2023-11-13,485298,74323,69674,97848,30064,99116,20735,500134,99962,219,5195,229,151044,87,972,1035802,22.0,551,72.11,307,3740,21530,0
2023-11-14,406393,101922,149832,5839,4454,65633,315037,266621,50277,385,8281,240,43351,88,691,179876,18.97,84273,89.26,318,4288,22872,0
2023-11-15,54754,199139,91475,71920,22878,221774,180745,285295,41551,125,3509,514,121023,30,554,592108,20.62,187230,82.04,375,871,58233,0
2023-11-16,246814,190448,66367,46619,53098,61913,225534,607665,99813,165,6016,192,177217,32,639,267071,7.41,186139,76.1,18,3307,29330,0
2023-11-17,257714,186659,148660,45821,64154,104776,50066,680532,66597,118,7533,725,97948,96,821,1875823,28.79,58957,54.01,468,655,17139,0
2023-11-18,162483,245659,126750,16493,14991,35991,236387,597670,55212,403,5727,383,66235,66,290,1994656,24.77,39882,81.23,96,3161,33977,0
2023-11-19,153983,114537,123154,20069,70344,195917,139445,203466,19637,283,1681,754,24855,58,702,555884,14.35,250102,57.49,379,964,5983,0
2023-11-20,480486,251983,49738,115443,38593,114092,277836,284318,53258,50,4932,322,177241,62,789,1611166,19.07,160323,85.39,340,4815,40909,0
2023-11-21,234835,52533,38397,10531,38304,239577,50541,422778,45693,216,6560,843,187476,90,724,1609301,6.18,217825,61.25,186,2273,43886,0
2023-11-22,421896,273972,87189,40051,32386,196384,170129,181936,19824,401,5016,562,160641,33,285,1392298,6.03,51982,68.77,139,616,50029,0
2023-11-23,104896,11917,81367,10736,57220,151633,71983,697952,36950,267,8339,644,135074,43,177,1645140,11.27,-3130,65.77,204,2603,22329,0
2023-11-24,497095,292762,125585,10710,71338,157973,155655,422818,33488,322,1719,375,64437,62,552,437927,22.24,163328,88.65,20,1874,58132,0
2023-11-25,91295,42254,81619,70155,23083,247113,158837,153533,10215,417,1074,781,189578,51,249,668728,26.3,279347,55.69,315,3703,37734,1
2023-11-26,239686,271987,116453,16975,20354,105556,195359,297997,21523,300,5157,239,166810,77,951,655943,18.98,109224,75.45,428,4903,43837,0
2023-11-27,382833,57362,24816,65424,24190,72875,215747,119590,85900,396,9511,456,147844,32,592,667327,18.3,61,56.39,131,4046,9818,0
2023-11-28,293255,292272,142348,48603,8142,166989,182597,439919,78689,393,3149,812,100410,52,551,417399,15.06,138691,81.72,408,4477,11918,0
2023-11-29,319648,252353,84530,26252,30398,72120,174302,378615,33834,468,7713,122,29731,97,699,172219,9.04,8235,90.73,244,4817,43418,0
2023-11-30,152874,200455,113856,83797,53971,143060,292710,553692,44474,223,5207,835,151203,50,541,810349,7.96,250034,69.56,340,1696,52976,0
2023-12-01,28155,75545,76635,4431,43862,120041,340337,531530,53066,219,8141,979,76324,72,70,1946252,24.02,40073,71.96,40,3911,2250,0
2023-12-02,486872,92180,112803,77603,55410,138467,257084,565795,20400,295,9652,369,195169,55,283,1767458,28.19,273545,91.73,357,1296,5758,0
2023-12-03,321528,97958,40946,40481,21503,155328,126015,355442,20345,472,4936,958,91720,70,763,1469315,16.46,-38783,73.44,455,4392,38131,1
2023-12-04,394705,15287,60204,95573,50456,128490,177257,506324,43896,139,2075,764,106433,67,840,794911,21.49,260495,71.94,421,650,3163,0
2023-12-05,67254,267665,20563,12557,10016,228800,251536,294936,95430,98,4876,432,12889,40,692,818590,27.86,245885,76.02,233,3749,43583,0
2023-12-06,304062,18512,97324,77971,4384,136155,229021,623212,38899,495,5615,184,19569,58,465,466042,7.25,142386,81.02,162,611,35621,0
2023-12-07,105981,142414,14847,106302,64320,38230,135956,459925,38229,343,8265,720,97193,89,197,1439091,24.26,213552,54.81,221,1182,18137,0
2023-12-08,473929,118872,31155,3162,17072,246538,75744,59726,15583,456,7379,130,95192,96,78,1611150,20.42,-7097,86.95,101,1661,33103,1
2023-12-09,50306,257754,84671,37742,42510,69778,300599,241896,14897,199,5652,840,97154,94,410,259950,19.97,165280,69.6,418,2879,22832,0
2023-12-10,167718,103070,121891,22675,50933,55833,321363,90542,81537,181,7792,339,118073,90,357,267229,12.31,57042,53.26,340,660,2868,0
2023-12-11,328987,89767,88310,76997,23826,32625,313135,463461,14567,482,8456,989,17612,48,932,1154490,22.1,193725,85.38,476,1925,50333,1
2023-12-12,140975,107829,136691,20015,70026,42088,78616,84753,84807,108,5674,462,61644,75,991,1363348,24.87,82290,66.96,357,4161,51665,0
2023-12-13,378745,52078,39707,53057,27518,220722,92438,333460,87239,373,1541,921,42069,78,211,1437900,7.82,131644,54.52,138,777,49336,0
2023-12-14,127512,93524,86537,35591,26045,182239,121841,283979,23329,248,3161,488,91741,51,918,1021192,18.34,59268,78.52,452,3891,42862,0
2023-12-15,167443,237645,96155,96583,52876,113937,145558,658986,81792,264,3251,752,168403,86,901,965048,7.53,-19895,89.61,206,2056,20728,0
2023-12-16,490587,22219,5281,103318,53919,212363,174934,328104,10228,435,5569,767,65897,43,110,1376137,26.81,19634,89.95,467,2415,39006,1
2023-12-17,393616,272379,137130,12833,29103,206375,257734,80791,92214,98,3744,398,155006,73,174,1336011,17.69,88691,93.09,51,3607,29029,0
2023-12-18,153121,137309,81260,10896,38188,86361,63870,337360,47052,281,7041,956,151167,45,505,719501,25.2,-31774,89.05,375,802,40857,0
2023-12-19,182688,149639,145272,35972,7845,98229,91694,376571,67769,296,5675,470,112544,41,120,520576,14.2,-24678,50.1,427,3273,29183,1
2023-12-20,385871,206513,69178,52733,38674,145189,242068,647578,56032,431,2560,198,28706,84,887,662093,8.13,270359,67.11,237,4781,23785,0
2023-12-21,395037,258320,38997,44800,21337,100265,311000,621302,98721,288,2164,146,184588,80,956,506669,6.04,117284,86.83,203,3745,19940,1
2023-12-22,303076,146487,124273,99044,24313,107718,106407,185150,43686,464,6419,938,113602,68,925,1275175,12.04,44835,66.48,27,1500,56250,0
2023-12-23,137796,177231,137311,8347,28943,70710,36379,100519,86981,416,3722,521,44629,62,515,778063,11.11,205027,77.07,342,4334,6280,0
2023-12-24,311999,53925,131945,62063,79949,235498,331873,623340,73261,217,1470,579,187982,62,292,1338669,19.01,23079,77.28,252,4506,38012,0
2023-12-25,212506,147023,50272,98850,2276,104876,241500,64389,12809,97,2468,678,134746,58,539,1222752,5.54,-26054,66.43,398,2218,3164,0
2023-12-26,485910,97388,94393,5643,53151,208126,59353,408105,51785,100,8925,161,30431,98,810,194799,18.01,112812,90.7,285,4330,56753,0
2023-12-27,194088,18007,66212,43785,19611,40949,186068,642399,46547,348,1808,208,197805,99,270,722673,14.79,-42747,72.65,459,3681,28188,0
2023-12-28,289544,267802,125030,21681,13944,163619,281175,207753,52818,147,9363,778,50088,60,522,859942,19.43,29311,70.92,136,3382,48917,1
2023-12-29,400002,68596,61503,53026,54887,222954,216144,663812,81927,488,7719,648,185207,60,582,1237495,22.56,244957,94.89,84,1498,15088,0
2023-12-30,193714,265266,142710,106864,51847,78136,70982,393150,75681,265,6073,218,179087,75,543,1024914,20.85,260509,72.21,71,784,19405,0
2023-12-31,35151,25524,11570,18892,60653,121541,41683,547488,89465,226,9012,697,41385,81,948,705750,29.62,17593,58.03,487,920,3821,0
2024-01-01,464623,165002,73785,50299,58622,205691,119091,144913,99862,429,2645,481,80199,39,131,279340,8.46,99485,73.09,489,2660,56090,1
2024-01-02,86690,135501,14110,20073,29810,71842,122797,668396,47333,129,9249,491,48677,70,905,789608,15.74,176833,86.63,297,3565,23516,0
2024-01-03,24499,292755,84141,105304,79842,235875,11587,319637,26576,234,2129,151,128104,32,928,1179735,15.62,-11515,84.96,195,2775,11473,0
2024-01-04,26295,158056,17115,33682,12503,242930,329934,119639,49405,416,2353,702,22818,88,571,142039,15.43,149304,85.49,187,1994,47454,0
2024-01-05,403029,24060,44062,100798,38976,36990,298624,281452,83779,448,1767,388,73001,81,972,857262,21.59,228245,81.86,175,4384,43530,0
2024-01-06,408215,224057,27911,99894,13590,157265,234602,366527,41601,76,4895,436,165049,63,61,1196376,17.25,-41169,61.44,192,3043,39737,1
2024-01-07,341184,200279,109061,17289,12886,40109,156599,359378,77946,497,9874,909,59832,78,312,402905,17.94,264041,88.79,37,4626,13178,0
2024-01-08,294327,216118,37556,118359,14866,140356,290713,536084,77356,463,4454,303,50931,57,706,718914,15.81,-44996,90.2,339,4757,39936,0
2024-01-09,442515,170359,133335,10927,68624,160305,278295,579882,62116,469,8329,979,93990,42,498,579319,29.79,258068,58.74,479,2341,28018,0
2024-01-10,163946,49711,6969,51330,70899,222802,195246,319515,72894,244,2790,337,82204,98,241,1266944,28.19,-12830,55.87,256,1221,18097,0
2024-01-11,398480,153026,48753,69707,34792,138133,49739,621603,44635,263,1885,481,55784,96,811,799023,12.69,-6445,93.9,346,1901,15096,0
2024-01-12,52711,228134,140542,80454,11764,175582,37954,282520,17465,418,8734,766,116305,90,163,1753767,7.79,68115,89.07,31,945,40971,0
